"city","country","roundabout_count"
"Timnath","United States",4
"Tipton","United States",4
"Tiszaújváros","Hungary",4
"Tornio","Finland",4
"Torquay","United Kingdom",4
"Town of Tonawanda","United States",4
"Towne Lake","United States",4
"Trzebinia","Poland",4
"Tsuu T'ina Nation 145","Canada",4
"Tullamarine","Australia",4
"Twinsburg","United States",4
"Tynaarlo","Netherlands",4
"Tyresö","Sweden",4
"Ulverstone","Australia",4
"Ul’yanovsk","Russia",4
"University District","United States",4
"Val d'Or","Canada",4
"Veszprém","Hungary",4
"Vialonga","Portugal",4
"Vidnoye","Russia",4
"Vinstra","Norway",4
"Virovitica","Croatia",4
"Vista","United States",4
"Voorthuizen","Netherlands",4
"Wadsworth","United States",4
"Wallasey","United Kingdom",4
"Wallsend","Australia",4
"Wanaka","New Zealand",4
"Wanchaq","Peru",4
"Wannanup","Australia",4
"Warners Bay","Australia",4
"Warriewood","Australia",4
"Wath upon Dearne","United Kingdom",4
"Waukee","United States",4
"Waurn Ponds","Australia",4
"Waverly","United States",4
"Waynesville","United States",4
"Wendouree","Australia",4
"Werrington","Australia",4
"West Monroe","United States",4
"West Roxbury","United States",4
"West Valley","United States",4
"Westchester","United States",4
"Westlake","United States",4
"Westside/Sunkist Grove","United States",4
"Wetherill Park","Australia",4
"Whangamata","New Zealand",4
"Witry-lès-Reims","France",4
"Wodzisław Śląski","Poland",4
"Woorim","Australia",4
"Worthington","United States",4
"Yakutsk","Russia",4
"Yandina","Australia",4
"Yatala","Australia",4
"Yurga","Russia",4
"Yuzhno-Sakhalinsk","Russia",4
"Zuidlaren","Netherlands",4
"s-Gravenzande","Netherlands",4
"Åkersberga","Sweden",4
"Érd","Hungary",4
"Öjersjö","Sweden",4
"Ølstykke","Denmark",4
"Άγιος Σέργιος","Cyprus",4
"Τρίκωμο","Cyprus",4
"Achziv Industrial Zone-Milohot","Israel",3
"Acoma Indian Reservation","United States",3
"Airmyn","United Kingdom",3
"Ajdovščina","Slovenia",3
"Aktau G.A. gorodskoy akimat","Kazakhstan",3
"Albany Creek","Australia",3
"Albertville","United States",3
"Alcabideche","Portugal",3
"Alderley","Australia",3
"Alexandria","United Kingdom",3
"Ames","United States",3
"Anapa","Russia",3
"Andover","United States",3
"Apatity","Russia",3
"Apopka","United States",3
"Archangel","Russia",3
"Argyle","United States",3
"Armidale","Australia",3
"Asbury Lake","United States",3
"Ascot","Australia",3
"Ashkelon","Israel",3
"Ashtead","United Kingdom",3
"Aubin Grove","Australia",3
"Auburn","Australia",3
"Auburn Hills","United States",3
"Auburndale","United States",3
"Augny","France",3
"Augustów","Poland",3
"Australind","Australia",3
"Avalon Harbor","United States",3
"Avoca Borough","United States",3
"Avon Lake","United States",3
"Baar","Switzerland",3
"Bairnsdale","Australia",3
"Balbriggan","Ireland",3
"Balçova","Turkey",3
"Barjouville","France",3
"Barrhead","United Kingdom",3
"Barrie","Canada",3
"Barwick & Kippax","United Kingdom",3
"Barwon Heads","Australia",3
"Basehor","United States",3
"Bateau Bay","Australia",3
"Batemans Bay","Australia",3
"Beachlands","New Zealand",3
"Bean","United Kingdom",3
"Beavercreek","United States",3
"Beaverton","United States",3
"Bel Air North","United States",3
"Bel Aire","United States",3
"Belgrave","Australia",3
"Bella Terra","United States",3
"Bellambi","Australia",3
"Bellara","Australia",3
"Belleville","United States",3
"Beloeil","Canada",3
"Beneden-Leeuwen","Netherlands",3
"Bentley Park","Australia",3
"Bethel","United States",3
"Bethesda","United States",3
"Beverly","United States",3
"Biatorbágy","Hungary",3
"Binghamton","United States",3
"Birkdale ","Australia",3
"Birmingham","United States",3
"Birzebbugia (Malta)","Malta",3
"Bishop Auckland","United Kingdom",3
"Bishopton","United Kingdom",3
"Blackpool","United Kingdom",3
"Blaydon","United Kingdom",3
"Blue Earth","United States",3
"Bohumín","Czechia",3
"Bolney","United Kingdom",3
"Bomaderry","Australia",3
"Bombo","Australia",3
"Bonney Lake","United States",3
"Boonville","United States",3
"Bossier City","United States",3
"Bourne","United States",3
"Bowie","United States",3
"Boynton Hills","United States",3
"Bradford","United Kingdom",3
"Braintree","United States",3
"Breckenridge","United States",3
"Bridlington","United Kingdom",3
"Brielle","Netherlands",3
"Brighton","United Kingdom",3
"Bristol","United States",3
"Bromont","Canada",3
"Bromölla","Sweden",3
"Brookfield","United States",3
"Broughton","United Kingdom",3
"Bull Creek","Australia",3
"Bungalow","Australia",3
"Burdell","Australia",3
"Burnley","United Kingdom",3
"Byron","United States",3
"Břeclav","Czechia",3
"Caboolture South","Australia",3
"Caddens","Australia",3
"Cairns City","Australia",3
"Calderwood","Australia",3
"Caldwell","United States",3
"Camden","Australia",3
"Camp Lejeune","United States",3
"Canley Vale","Australia",3
"Canmore","Canada",3
"Cannonvale","Australia",3
"Canon City","United States",3
"Canton of Cesson-Sévigné","France",3
"Canton of Le Chambon-Feugerolles","France",3
"Caringbah South","Australia",3
"Carlsbad","United States",3
"Carluke","United Kingdom",3
"Carrollton","United States",3
"Casino","Australia",3
"Casper","United States",3
"Castellón de la Plana","Spain",3
"Castleford","United Kingdom",3
"Castroville","United States",3
"Catedral","Venezuela",3
"Cauro","France",3
"Caversham","Australia",3
"Cedarburg","United States",3
"Celina","United States",3
"Chagrin Valley","United States",3
"Chambéry","France",3
"Chanhassen","United States",3
"Channel Islands","United States",3
"Charlemont","Australia",3
"Charleston","United States",3
"Cheektowaga","United States",3
"Chehalis","United States",3
"Chelsea","United States",3
"Chernogorsk","Russia",3
"Chester","United Kingdom",3
"Chester Hill","Australia",3
"Chesterton","United States",3
"Chichester","United Kingdom",3
"Chiclayo","Peru",3
"Chillicothe","United States",3
"China Grove","United States",3
"Chipping Norton","Australia",3
"Cinnaminson","United States",3
"Civate","Italy",3
"Clarkdale","United States",3
"Cleveland","United States",3
"Clive","United States",3
"Clonsilla","Ireland",3
"Coalfield","United Kingdom",3
"Coaña","Spain",3
"Cocoa","United States",3
"Cocoplum","United States",3
"Cold Hesledon","United Kingdom",3
"Collaroy Plateau","Australia",3
"Cologne","United States",3
"Coolum Beach","Australia",3
"Coraopolis","United States",3
"Cork","Ireland",3
"Coronado","United States",3
"Cottleville","United States",3
"Cowra","Australia",3
"Crace","Australia",3
"Cranebrook","Australia",3
"Cronulla","Australia",3
"Crozet","United States",3
"Culpeper","United States",3
"Dahlonega","United States",3
"Dalton","United States",3
"Dalyellup ","Australia",3
"Danbury","United States",3
"Darch","Australia",3
"Darley","Australia",3
"Darwin City","Australia",3
"Davidsonville","United States",3
"Davoren Park","Australia",3
"De Lier","Netherlands",3
"Deception Bay","Australia",3
"Dedham","United States",3
"Deerfield Hills","United States",3
"Defiance","United States",3
"Delano","United States",3
"Delfgauw","Netherlands",3
"Delray Beach","United States",3
"Derwood","United States",3
"Dieppe","Canada",3
"Direk","Australia",3
"Dodoma","Tanzania",3
"Dornbirn","Austria",3
"Douglasville","United States",3
"Downingtown","United States",3
"Drogheda","Ireland",3
"Dromana","Australia",3
"Dubuque","United States",3
"Dunsborough ","Australia",3
"Dural","Australia",3
"Duvall","United States",3
"Dún Laoghaire-Rathdown (Ireland)","Ireland",3
"Easley","United States",3
"East Albury","Australia",3
"East Greenbush","United States",3
"East Lansing","United States",3
"East St Louis","United States",3
"Eden","United States",3
"Edgewater","United States",3
"Edina","United States",3
"Edmonds","United States",3
"Eethen","Netherlands",3
"Eindhoven","Netherlands",3
"El Ghobeiri","Lebanon",3
"Elkhart","United States",3
"Elkridge","United States",3
"Elmira","United States",3
"Elst","Netherlands",3
"Elverum","Norway",3
"Emerald Beach","Australia",3
"Emporia","United States",3
"Encounter Bay","Australia",3
"Endeavour Hills","Australia",3
"Erdington","United Kingdom",3
"Ermelo","Netherlands",3
"Eugene","United States",3
"Euxton","United Kingdom",3
"Evansville","United States",3
"Eystur (Faroe Islands)","Faroe Islands",3
"Fairfield","Australia",3
"Fairfield East","Australia",3
"Fairhope","United States",3
"Farrell","United States",3
"Fish Hawk","United States",3
"Flaxmere","New Zealand",3
"Flemington","United States",3
"Flowery Branch","United States",3
"Foley","United States",3
"Forest Park","United States",3
"Fort Bragg","United States",3
"Fort Dodge","United States",3
"Fort Lauderdale","United States",3
"Fort Lewis","United States",3
"Frogn","Norway",3
"Fruita","United States",3
"Fruitland","United States",3
"Fruitville","United States",3
"Fulford","United Kingdom",3
"Furadeis","Israel",3
"Gambrills","United States",3
"Gamla Tyresö","Sweden",3
"Gardner","United States",3
"Gasselte","Netherlands",3
"Ge Lin Da Wei Ku Zhen","Iceland",3
"Genesee","United States",3
"Georgetown","Canada",3
"Geraldton","Australia",3
"Giessendam","Netherlands",3
"Girrawheen","Australia",3
"Godstone","United Kingdom",3
"Gold Coast","Australia",3
"Golden Bay","Australia",3
"Golden Point","Australia",3
"Gore","New Zealand",3
"Gorleston-on-Sea","United Kingdom",3
"Gosford","Australia",3
"Gracemere","Australia",3
"Granadilla de Abona","Spain",3
"Grand Forks","United States",3
"Grandview Heights","United States",3
"Grass Valley","United States",3
"Great Yarmouth","United Kingdom",3
"Groznyy","Russia",3
"Gruyères","Switzerland",3
"Győr","Hungary",3
"Gödöllő","Hungary",3
"Hadath","Lebanon",3
"Haderslev","Denmark",3
"Haga","Sweden",3
"Halifax","United Kingdom",3
"Halswell","New Zealand",3
"Hamilton","United Kingdom",3
"Hamilton","United States",3
"Hammar","Sweden",3
"Hampton","United States",3
"Hanahan","United States",3
"Hanover Township","United States",3
"Happy Valley","Australia",3
"Harpers Ferry","United States",3
"Hasselt","Belgium",3
"Hasselt","Netherlands",3
"Hastings","Australia",3
"Haugesund","Norway",3
"Havana","Cuba",3
"Hayden","United States",3
"Heathridge","Australia",3
"Heathwood","Australia",3
"Heaton","United Kingdom",3
"Heidelberg","Germany",3
"Helensburgh","Australia",3
"Helsingør","Denmark",3
"Herk-de-Stad","Belgium",3
"Herne","Germany",3
"Hershey","United States",3
"Hierden","Netherlands",3
"Higher Penwortham","United Kingdom",3
"Highlands/Perkins","United States",3
"Hilton Head","United States",3
"Hisings Karra","Sweden",3
"Hollywood","United States",3
"Honolulu","United States",3
"Hoogland","Netherlands",3
"Horgen","Switzerland",3
"Horizon City","United States",3
"Horizon West","United States",3
"Horsford","United Kingdom",3
"Horsforth","United Kingdom",3
"Horten","Norway",3
"Horw","Switzerland",3
"Hostivice","Czechia",3
"Hove","United Kingdom",3
"Hoylake","United Kingdom",3
"Huaquillas","Ecuador",3
"Huber Heights","United States",3
"Hugo","United States",3
"Huntersville","United States",3
"Hyannis","United States",3
"Hässelby","Sweden",3
"Inverell","Australia",3
"Inwood","United States",3
"Irving","United States",3
"Ivins","United States",3
"Jefferson","United States",3
"Johanneshov","Sweden",3
"Jonesboro","United States",3
"Junction City","United States",3
"Jönköping","Sweden",3
"Kalgoorlie","Australia",3
"Kallangur","Australia",3
"Kangaroo Flat","Australia",3
"Karlovac","Croatia",3
"Kastrup","Denmark",3
"Kemerovo","Russia",3
"Kemptville","Canada",3
"Kenilworth","United Kingdom",3
"Key Biscayne","United States",3
"Khasavyurt","Russia",3
"Kherson","Ukraine",3
"Killara","Australia",3
"Killarney Vale","Australia",3
"Killdeer","United States",3
"Kilmacanogue","Ireland",3
"Kilmarnock","United Kingdom",3
"Kilpedder","Ireland",3
"Kimball","United States",3
"Kingsport","United States",3
"Kingston","United States",3
"Kirkkonummi","Finland",3
"Kirov","Russia",3
"Konz","Germany",3
"Kostanai Region","Kazakhstan",3
"Kota Samarahan","Malaysia",3
"Krasnodar","Russia",3
"Krasnokamensk","Russia",3
"Krško","Slovenia",3
"Kursk","Russia",3
"Lackawanna","United States",3
"Lake Arbor","United States",3
"Lake Country","Canada",3
"Lake Forest","United States",3
"Lake Illawarra","Australia",3
"Lalor Park","Australia",3
"Land O' Lakes","United States",3
"Laredo","United States",3
"Largs Bay","Australia",3
"Las Cruces","United States",3
"Las Heras","Argentina",3
"Leawood","United States",3
"Lendava","Slovenia",3
"Lennoxville","Canada",3
"Lent","Netherlands",3
"Leura","Australia",3
"Liberty Lake","United States",3
"Lima","Peru",3
"Lincolnwood","United States",3
"Linlithgow","United Kingdom",3
"Linne","Netherlands",3
"Linton Hall","United States",3
"Lisbon","United States",3
"Lithonia","United States",3
"Lititz","United States",3
"Live Oak","United States",3
"Locust Grove","United States",3
"Loganville","United States",3
"Lomma","Sweden",3
"Loon op Zand","Netherlands",3
"Loures","Portugal",3
"Lugoj","Romania",3
"Lumberton","United States",3
"Lynn","United States",3
"Lærdalsøyri","Norway",3
"Lévis","Canada",3
"Macclesfield","United Kingdom",3
"Macomb","United States",3
"Mainvilliers","France",3
"Maitland","Australia",3
"Malaga","Australia",3
"Marangaroo","Australia",3
"Marengo","United States",3
"Marewa","New Zealand",3
"Marijampolė","Lithuania",3
"Marina","United States",3
"Marldon","United Kingdom",3
"Maroochydore","Australia",3
"Maroubra","Australia",3
"Mars","United States",3
"Maryborough","Australia",3
"Maryville","United States",3
"Mashpee","United States",3
"Masku","Finland",3
"Matosinhos","Portugal",3
"McCordsville","United States",3
"McEwen","United States",3
"McGuire Air Force Base","United States",3
"McMinnville","United States",3
"Melbourne","United States",3
"Melton South","Australia",3
"Miami Gardens","United States",3
"Miami Lakes","United States",3
"Middlesbrough","United Kingdom",3
"Midland","Australia",3
"Midland","United States",3
"Mikkeli","Finland",3
"Mill Creek at Cyprus Ridge","United States",3
"Minnetonka","United States",3
"Mira","Italy",3
"Mirrabooka","Australia",3
"Miskolc","Hungary",3
"Mitchelton","Australia",3
"Montalto Uffugo","Italy",3
"Montrose","United States",3
"Moorhead","United States",3
"Mooroolbark","Australia",3
"Mornington","Australia",3
"Moseley","United States",3
"Moss Vale","Australia",3
"Motherwell","United Kingdom",3
"Moultrie","United States",3
"Mount Louisa","Australia",3
"Mountpleasant","Ireland",3
"Murmansk","Russia",3
"Murwillumbah","Australia",3
"Muskegon","United States",3
"Musselburgh","United Kingdom",3
"Mytishchi","Russia",3
"Mór","Hungary",3
"Mülheim an der Ruhr","Germany",3
"Nanaimo","Canada",3
"Nanticoke","United States",3
"Nantucket","United States",3
"Napa","United States",3
"Narlıdere","Turkey",3
"Neve Yam","Israel",3
"New Hudson","United States",3
"New Market","United States",3
"New Prague","United States",3
"New Rochelle","United States",3
"New Stanton","United States",3
"New York","United States",3
"Newburn","United Kingdom",3
"Newport","Australia",3
"Niceville","United States",3
"Niederberg","Germany",3
"Nijkerkerveen","Netherlands",3
"Nokia","Finland",3
"Norman Gardens","Australia",3
"North Beach","Australia",3
"North East","United States",3
"North Little Rock","United States",3
"North Pole","United States",3
"North Ridgeville","United States",3
"Northgate","United Kingdom",3
"Norwood","United States",3
"Notodden","Norway",3
"Novi","United States",3
"Novi Sad","Serbia",3
"Nowra","Australia",3
"Nuriootpa","Australia",3
"Nynäshamn","Sweden",3
"Näsbypark","Sweden",3
"Oakdale","United States",3
"Oakland","United States",3
"Oakville","Canada",3
"Oakwood","United States",3
"Oberlin","United States",3
"Ocean Reef","Australia",3
"Oconomowoc","United States",3
"Odivelas","Portugal",3
"Okotoks","Canada",3
"Olomouc","Czechia",3
"Omsk","Russia",3
"Opava","Czechia",3
"Oppdal","Norway",3
"Orange","United States",3
"Orion Township","United States",3
"Orkanger","Norway",3
"Oromocto","Canada",3
"Oroville","United States",3
"Orrell","United Kingdom",3
"Osby","Sweden",3
"Ottoway","Australia",3
"Ottumwa","United States",3
"Oviedo","United States",3
"Owings","United States",3
"Oxenford","Australia",3
"Oxley","Australia",3
"Oxon Hill","United States",3
"Paide","Estonia",3
"Palmerston","Australia",3
"Palmetto Bay","United States",3
"Papamoa Beach","New Zealand",3
"Parkville","Australia",3
"Parkville","United States",3
"Patras","Greece",3
"Pauanui","New Zealand",3
"Pease Pottage","United Kingdom",3
"Pelham","United States",3
"Pelham Bay Park","United States",3
"Penrhos","United Kingdom",3
"Penrith","Australia",3
"Penza","Russia",3
"Perth","United Kingdom",3
"Peterborough","United States",3
"Pictou","Canada",3
"Pine Island","United States",3
"Pinhal Novo","Portugal",3
"Pitt Meadows","Canada",3
"Piura","Peru",3
"Plymouth","United States",3
"Pomacle","France",3
"Poraiti","New Zealand",3
"Porsgrunn","Norway",3
"Port Townsend","United States",3
"Portage","United States",3
"Portree","United Kingdom",3
"Porvoo","Finland",3
"Poulsbo","United States",3
"Prairie du Chien","United States",3
"Prairiewood","Australia",3
"Prestons","Australia",3
"Prestwick","United Kingdom",3
"Prijedor","Bosnia and Herzegovina",3
"Purcellville","United States",3
"Pécs","Hungary",3
"Quail","United States",3
"Racine","United States",3
"Raleigh","Australia",3
"Ramat Hasharon","Israel",3
"Rancho","United States",3
"Rancho Cucamonga","United States",3
"Raymore","United States",3
"Redcar","United Kingdom",3
"Redcliffe","Australia",3
"Regents Park","Australia",3
"Reisterstown","United States",3
"Research","Australia",3
"Reusel","Netherlands",3
"Revere","United States",3
"Reykjavík","Iceland",3
"Reynella East","Australia",3
"Reynolds Heights","United States",3
"Richardson","United States",3
"Richmond","Canada",3
"Richmond West","United States",3
"Ridgewood","Australia",3
"Riga","Latvia",3
"Rijswijk","Netherlands",3
"Ringsted","Denmark",3
"Rio de Janeiro","Brazil",3
"Riverside","United States",3
"Riverview","Canada",3
"Rock Hill","United States",3
"Rogers","United States",3
"Rose Canyon","United States",3
"Rouyn-Noranda","Canada",3
"Rushden","United Kingdom",3
"Ruston","United States",3
"Rutherglen","United Kingdom",3
"Råneå","Sweden",3
"Saint Louis Park","United States",3
"Saint-Louis","France",3
"Salamander Bay","Australia",3
"Salo","Finland",3
"Salt","Spain",3
"San Luis","Argentina",3
"San Ramon","United States",3
"Sandefjord","Norway",3
"Sandy Beach","Australia",3
"Sankt Pölten","Austria",3
"Santa Clara","United States",3
"Santa Iria de Azoia","Portugal",3
"Santa Olalla del Cala","Spain",3
"Satu Mare","Romania",3
"Saukville","United States",3
"Schwechat","Austria",3
"Sea View Estates","United States",3
"Sebastian","United States",3
"Senec","Slovakia",3
"Sept-Îles","Canada",3
"Severn","United States",3
"Severnyy","Russia",3
"Seville","Spain",3
"Shailer Park","Australia",3
"Short Pump","United States",3
"Siedlce","Poland",3
"Silver Bluff","United States",3
"Siófok","Hungary",3
"Sjödalen","Sweden",3
"Snowmass Village","United States",3
"Snättringe","Sweden",3
"Sobralinho","Portugal",3
"South Milford Historic District","United States",3
"South Shore","United Kingdom",3
"South West Rocks","Australia",3
"South Yarmouth","United States",3
"Southern Pines","United States",3
"Southport","United States",3
"Spartanburg","United States",3
"Spearwood","Australia",3
"Springwood","Australia",3
"Squamish","Canada",3
"St Albans","Australia",3
"St Catharines","Canada",3
"St Michael","United States",3
"St. Clair Township","United States",3
"St. Louis","United States",3
"Stafford","United States",3
"Staines-upon-Thames","United Kingdom",3
"Stanthorpe","Australia",3
"Stirling","United Kingdom",3
"Stockholm-Arlanda","Sweden",3
"Stoughton","United States",3
"Stratford","Canada",3
"Strömstad","Sweden",3
"Sudbury","United Kingdom",3
"Sullana","Peru",3
"Summerland","Canada",3
"Summerside","Canada",3
"Sundre","Canada",3
"Sunshine Coast","Australia",3
"Surfers Paradise","Australia",3
"Sutton Coldfield","United Kingdom",3
"Suwanee","United States",3
"Svendborg","Denmark",3
"Sykesville","United States",3
"Szczecin","Poland",3
"São Bartolomeu de Messines","Portugal",3
"Talleysville","United States",3
"Tamiami","United States",3
"Taos","United States",3
"Taradale","New Zealand",3
"Taree","Australia",3
"Tashkent","Uzbekistan",3
"Tel Mond","Israel",3
"The Colony","United States",3
"The Grant at Willowsford","United States",3
"The Hague","Netherlands",3
"Thirsk","United Kingdom",3
"Thornaby-on-Tees","United Kingdom",3
"Tijuana","Mexico",3
"Tilburg","Netherlands",3
"Tirana","Albania",3
"Toruń","Poland",3
"Town","United Kingdom",3
"Tracy","United States",3
"Tralee","Ireland",3
"Tranent","United Kingdom",3
"Traralgon East","Australia",3
"Trenton","United States",3
"Trenčín","Slovakia",3
"Triangle","United States",3
"Tuggerah","Australia",3
"Tumba","Sweden",3
"Turku","Finland",3
"Turlock","United States",3
"Twin Waters","Australia",3
"Upper Arlington","United States",3
"VE","Italy",3
"Vaasa","Finland",3
"Vacaville","United States",3
"Vaira","Lithuania",3
"Valašské Meziříčí","Czechia",3
"Valle de Banderas","Mexico",3
"Vasse","Australia",3
"Vaughan","Canada",3
"Vejle","Denmark",3
"Vellinge","Sweden",3
"Venice","United States",3
"Vennesla","Norway",3
"Vermont South","Australia",3
"Vientiane","Laos",3
"Viksjö","Sweden",3
"Village of Bayberry North","United States",3
"Ville-la-Grand","France",3
"Vineyard","United States",3
"Wainui","New Zealand",3
"Waite Park","United States",3
"Wakeley","Australia",3
"Wallaroo","Australia",3
"Wallsend","United Kingdom",3
"Wandal","Australia",3
"Wanniassa","Australia",3
"Washington","United Kingdom",3
"Wasilla","United States",3
"Wasserliesch","Germany",3
"Waterville","United States",3
"Watsonville","United States",3
"Wauwatosa","United States",3
"Wałcz","Poland",3
"Webster","United States",3
"Wellington","Australia",3
"Wentzville","United States",3
"West Beach","Australia",3
"West Bloomfield Township","United States",3
"West Boldon","United Kingdom",3
"West Chester","United States",3
"West End","United States",3
"West Friendship","United States",3
"West Valley City","United States",3
"West Vancouver","Canada",3
"West Wickham","United Kingdom",3
"Westpark","United States",3
"Wexford","Ireland",3
"Wheaton-Glenmont","United States",3
"Whitburn","United Kingdom",3
"Whiteman","Australia",3
"Whitewater","United States",3
"Whyalla Stuart","Australia",3
"Wickenburg","United States",3
"Willard","United States",3
"Williamsport","United States",3
"Willmar","United States",3
"Winter Park","United States",3
"Wisconsin Rapids","United States",3
"Woodcroft","Australia",3
"Woods Cross","United States",3
"Wooster","United States",3
"Wright","Australia",3
"Wrightstown","United States",3
"Wynyard","Australia",3
"Yass","Australia",3
"Yorkton","Canada",3
"Yorkville","United States",3
"Yuba City","United States",3
"Zadar","Croatia",3
"Zumaya","Spain",3
"Ząbki","Poland",3
"Älvsjö","Sweden",3
"Århus","Denmark",3
"Åstorp","Sweden",3
"Čapljina","Bosnia and Herzegovina",3
"Świnoujście","Poland",3
"Šempeter pri Gorici","Slovenia",3
"Šilutė","Lithuania",3
"Έγκωμη","Cyprus",3
"'s-Hertogenbosch","Netherlands",2
"A Ku Lei La Zhen","Iceland",2
"Abbotsbury","Australia",2
"Aberglasslyn","Australia",2
"Abington","United Kingdom",2
"Achinsk","Russia",2
"Adelaide Airport","Australia",2
"Adrian","United States",2
"Aimin District","China",2
"Airport West","Australia",2
"Airway Heights","United States",2
"Alafaya","United States",2
"Albany","Australia",2
"Albion Park Rail","Australia",2
"Albufeira","Portugal",2
"Aldinga","Australia",2
"Aldinga Beach","Australia",2
"Aldridge Central & South","United Kingdom",2
"Aleksandrów Łódzki","Poland",2
"Algonquin","United States",2
"Allouez","United States",2
"Alma","Canada",2
"Alpine","United States",2
"Ambarvale","Australia",2
"Amesbury","United States",2
"Ammon","United States",2
"Amos","Canada",2
"Ancaster","Canada",2
"Andergrove","Australia",2
"Anderson Township","United States",2
"Andorra la Vella","Andorra",2
"Angered","Sweden",2
"Aniva","Russia",2
"Ansfelden","Austria",2
"Antigonish County","Canada",2
"Antiguo Cuscatlán","El Salvador",2
"Antrim","United Kingdom",2
"Apollo Beach","United States",2
"Araluen","Australia",2
"Arcadia","United States",2
"Arden Hills","United States",2
"Ardrossan","United Kingdom",2
"Argun","Russia",2
"Armstrong Creek","Australia",2
"Armthorpe","United Kingdom",2
"Arnhem","Netherlands",2
"Arnö","Sweden",2
"Arthur's Seat","United Kingdom",2
"Arundel","United States",2
"Arvidsjaur","Sweden",2
"Ashburn","United States",2
"Ashburton","New Zealand",2
"Ashmore","Australia",2
"Askham Bryan","United Kingdom",2
"Athlone","Ireland",2
"Athol","United States",2
"Attard (Malta)","Malta",2
"Aubrey","United States",2
"Aveley","Australia",2
"Aventura","United States",2
"Añorga-Lugariz","Spain",2
"Bacchus Marsh","Australia",2
"Bainbridge Island","United States",2
"Balatonfúzfó","Hungary",2
"Balatonszentgyörgy","Hungary",2
"Balgonie","Canada",2
"Ball Ground","United States",2
"Ballan","Australia",2
"Ballina","Ireland",2
"Bangor","United States",2
"Banora Point","Australia",2
"Bardia","Australia",2
"Barkarby","Sweden",2
"Barmulloch","United Kingdom",2
"Barnawartha North","Australia",2
"Barnsley","United Kingdom",2
"Barnstable","United States",2
"Barreiro","Portugal",2
"Barrow-in-Furness","United Kingdom",2
"Basalt","United States",2
"Basse-Indre","France",2
"Bath","United States",2
"Battlesbridge","United Kingdom",2
"Bayfield","United States",2
"Bayview","Australia",2
"Bazancourt","France",2
"Beaconsfield","Australia",2
"Beauharnois","Canada",2
"Beech Grove","United States",2
"Beeliar","Australia",2
"Beeston","United Kingdom",2
"Bega","Australia",2
"Belfast","United Kingdom",2
"Belfeld","Netherlands",2
"Bell Post Hill","Australia",2
"Bellbird Park","Australia",2
"Bellimbopinni","Australia",2
"Belmar","United States",2
"Belogorsk","Russia",2
"Benalla","Australia",2
"Bennettsville","United States",2
"Benton Harbor","United States",2
"Berakas B","Brunei",2
"Berlin","United States",2
"Berrinba","Australia",2
"Bertram","Australia",2
"Berëzovka","Russia",2
"Bessemer","United States",2
"Bexley","United States",2
"Biesiekierz","Poland",2
"Big Bear Lake","United States",2
"Biloxi","United States",2
"Biriatou","France",2
"Birkdale","Australia",2
"Birkenshaw","United Kingdom",2
"Biscayne Bay","United States",2
"Bishkek","Kyrgyzstan",2
"Bishopbriggs","United Kingdom",2
"Biłgoraj","Poland",2
"Black Diamond","United States",2
"Black Rock","Australia",2
"Blackbutt","Australia",2
"Blackman Township","United States",2
"Blackshear","United States",2
"Blagoveshchensk","Russia",2
"Blair Athol","Australia",2
"Blandon","United States",2
"Bloomfield","United States",2
"Bloomingdale","United States",2
"Blue Bell","United States",2
"Bo'ness","United Kingdom",2
"Boambee East","Australia",2
"Boardman","United States",2
"Boerne","United States",2
"Bogart","United States",2
"Bolingbrook","United States",2
"Bolton","Canada",2
"Bonita Bay","United States",2
"Bonne Terre","United States",2
"Bonner","Australia",2
"Boorooma","Australia",2
"Bornova","Turkey",2
"Boronia","Australia",2
"Bossley Park","Australia",2
"Box Elder","United States",2
"Brabham","Australia",2
"Branson","United States",2
"Bratsk","Russia",2
"Bredbury","United Kingdom",2
"Bremerton","United States",2
"Breña","Peru",2
"Bridgeport","United States",2
"Bristow","United States",2
"Broadbeach Waters","Australia",2
"Broadwater","Australia",2
"Broken Hill","Australia",2
"Brokind","Sweden",2
"Brookhaven","United States",2
"Brookings","United States",2
"Brooklawn","United States",2
"Brookline","United States",2
"Brooklyn","United States",2
"Brooklyn Park","United States",2
"Broussard","United States",2
"Brown Deer","United States",2
"Brownsfield/Central","United States",2
"Bruce","Australia",2
"Bruck an der Leitha","Austria",2
"Buchanan","Australia",2
"Buchanan","United States",2
"Buckeye","United States",2
"Buckhead","United States",2
"Buechel","United States",2
"Buena Vista Township","United States",2
"Bundoora","Australia",2
"Bunkeflostrand","Sweden",2
"Burbank","United States",2
"Burnside","Australia",2
"Burnside Heights","Australia",2
"Burntisland","United Kingdom",2
"Burton","Australia",2
"Burtonsville","United States",2
"Bydgoszcz","Poland",2
"Byron Bay","Australia",2
"Cabazon","United States",2
"Cable Beach","Australia",2
"Cabocan","Cape Verde",2
"Cadillac","United States",2
"Cady","United States",2
"Caergeiliog","United Kingdom",2
"Caesarea","Israel",2
"Cairnlea","Australia",2
"Cairns","Australia",2
"Cairns North","Australia",2
"Caledonia","United States",2
"California Gully","Australia",2
"Callemondah","Australia",2
"Cambo-les-Bains","France",2
"Camp Hill","Australia",2
"Camp Springs","United States",2
"Camrose","Canada",2
"Canadian","Australia",2
"Canandaigua","United States",2
"Canonsburg","United States",2
"Canwick","United Kingdom",2
"Canyon Rim","United States",2
